,0
21462,2
27705,1
49384,3
84897,2
84898,2
99769,60
99815,18
99869,10
99991,6
100039,16
100045,4
100093,4
100094,1
102264,6
103544,5
103588,1
107204,4
107495,1
107500,1
107562,2
107624,2
107687,1
107749,2
107940,1
108001,1
108066,1
108192,1
108255,2
108317,1
108380,1
108443,2
108475,2
108502,1
108503,1
108629,1
108690,1
108692,1
108751,1
108753,1
108816,2
108941,1
108942,1
108954,22
108982,1
109046,1
109108,2
109171,1
109234,1
109360,2
109418,1
109420,3
109503,2
109672,1
109800,1
109863,1
110054,1
110180,1
110242,1
110306,2
110560,1
110752,1
112116,2
112157,1
112987,1
114352,2
115481,1
115800,1
115927,1
116372,1
116437,1
116626,1
116627,1
116903,1
118409,9
118465,8
119097,5
119098,2
119246,2
121932,2
122612,1
124617,2
125284,15
126051,1
126177,1
127072,1
127300,2
127342,2
127345,2
129534,17
129540,2
129564,2
129596,3
132325,8
132496,1
132664,1
132920,1
132981,1
132983,1
132984,5
132987,54
133030,9
133040,2
1598,1
1661,1
1724,1
1980,1
2363,1
2490,1
3513,1
3701,1
3763,1
4149,1
4341,1
7283,1
7344,1
8452,1
8494,1
8943,1
9199,1
9517,1
9645,1
9658,4
9832,1
10023,1
10597,1
11045,1
11108,1
12259,1
12638,1
13280,1
13792,1
13982,1
14234,1
14237,1
14362,1
14363,1
15065,1
15129,1
15896,1
16661,1
16681,5
16720,2
16842,1
16846,1
17292,1
17740,1
18187,1
18378,1
18505,1
19271,1
19379,1
19718,1
19965,1
20675,1
20737,1
20994,1
21118,1
21400,2
21630,1
22459,1
22777,1
22901,1
23097,1
23801,1
24386,5
24748,1
25135,1
25264,1
25392,1
25709,1
26028,1
26477,1
26668,1
26920,1
26921,1
26983,1
27345,1
27364,1
27426,1
27429,1
27620,1
28257,3
28699,1
28767,1
29212,1
29960,4
30487,2
30742,1
31811,1
31892,1
32273,1
32274,1
32720,1
32785,1
33168,1
33290,1
33486,1
34056,1
34057,1
34949,1
35401,1
35848,1
35976,1
36339,4
36734,2
37184,1
38783,2
39165,1
40316,1
40444,1
40761,1
42106,1
43001,1
43063,1
43507,1
43509,1
44469,1
45043,1
45107,1
45233,1
45488,1
45936,1
46574,1
46638,1
46826,1
47980,1
48809,2
48936,1
49191,1
49237,2
49250,1
49316,1
49378,1
50639,1
50657,1
51932,1
51935,1
52377,1
53701,1
53720,1
53723,1
53783,1
53849,1
55071,1
55123,1
55124,1
55509,1
55516,1
55699,1
55948,1
55952,1
55963,1
56074,1
56138,1
56586,1
56716,1
56980,1
57351,1
57545,1
58179,1
58183,1
58437,1
59061,1
59075,1
59202,1
59265,1
59969,1
60030,1
60031,1
60406,1
61235,1
63349,1
64250,1
64696,2
64886,1
65079,1
65270,1
65842,1
66414,1
66546,1
66646,1
66673,1
66863,1
67118,1
67565,1
68134,1
69996,1
72043,1
72681,1
